flex1,flex2,flex3,flex4,flex5,gyroRotX,gyroRotY,gyroRotZ,gyroAccX,gyroAccY,gyroAccZ,Alphabet
267,29,62,57,42,-2.26,9.37,-1.33,-0.13,0.04,0.03,A
267,28,62,57,43,-1.99,9.45,-1.47,-0.12,-0.02,0.01,A
267,29,62,57,42,-2.17,9.48,-1.13,-0.11,-0.02,0.02,A
267,29,63,57,42,-2.21,9.34,-1.28,-0.1,0,0.02,A
267,29,62,57,42,-2.2,9.33,-1.38,-0.12,0.02,0.03,A
267,29,62,57,42,-2.04,9.2,-1.22,-0.12,-0.02,0.02,A
268,29,62,57,43,-2.04,9.39,-1.27,-0.09,-0.02,0.03,A
268,29,62,57,43,-1.91,9.49,-1.56,-0.11,-0.01,0.03,A
268,29,62,57,42,-2.17,9.33,-1.21,-0.14,0.01,0.02,A
268,28,62,57,43,-2.06,9.54,-1.28,-0.09,0,0.02,A
268,29,62,57,43,-1.9,9.31,-1.37,-0.12,-0.02,0,A
268,29,62,57,42,-2.2,9.51,-1.22,-0.11,-0.01,0,A
268,29,62,58,42,-2.13,9.39,-0.97,-0.14,0.06,0.03,A
268,29,62,57,43,-2.11,9.4,-1.28,-0.06,-0.04,-0.01,A
268,29,62,57,43,-2.24,9.38,-1.46,-0.09,0.04,0.01,A
268,29,63,57,42,-2.04,9.33,-1.32,-0.13,-0.04,0.03,A
268,29,62,57,43,-2.2,9.42,-1.34,-0.13,0.01,0.02,A
268,29,63,57,43,-2.04,9.41,-1.43,-0.14,0.02,0.01,A
268,29,63,57,43,-2.16,9.48,-1.39,-0.16,-0.04,0.03,A
268,29,62,57,43,-2,9.39,-1.18,-0.16,-0.02,0.03,A
268,29,62,57,43,-2.19,9.44,-1.03,-0.13,-0.03,0.02,A
268,29,62,57,43,-2.04,9.39,-1.13,-0.14,-0.04,0.02,A
268,29,62,57,42,-2.44,9.4,-1.46,-0.18,0.08,0.04,A
268,29,63,57,43,-1.96,9.5,-1.07,-0.18,-0.03,0.05,A
268,29,63,57,43,-2,9.4,-1.29,-0.18,0.02,0.04,A
268,29,63,57,42,-1.87,9.5,-0.93,-0.18,0.01,0.04,A
268,29,63,57,43,-1.85,9.46,-0.78,-0.14,0,0.01,A
268,29,63,57,43,-2.16,9.37,-1.12,-0.09,0.04,0,A
268,29,62,57,43,-2.08,9.4,-1.19,-0.13,0.05,0.01,A
268,29,63,57,43,-1.92,9.49,-0.9,-0.16,0.02,0,A
268,29,62,57,43,-1.99,9.55,-0.71,-0.08,-0.03,-0.01,A
268,29,62,57,42,-2.04,9.33,-1.05,-0.06,0.02,-0.01,A
268,28,62,57,43,-2.07,9.39,-1.07,-0.04,0.01,-0.01,A
268,29,63,57,43,-1.85,9.37,-1,-0.04,-0.04,-0.02,A
268,29,62,57,43,-2.13,9.4,-1.13,-0.07,-0.03,0.01,A
268,29,62,57,43,-1.99,9.5,-1.18,-0.08,-0.02,0.03,A
267,29,62,57,43,-2.02,9.39,-0.93,-0.08,0.02,-0.01,A
268,29,63,57,43,-2.1,9.38,-1.38,-0.04,0.01,0.01,A
267,29,63,57,43,-2.15,9.37,-1.55,-0.11,0.01,0,A
268,29,63,57,43,-2,9.46,-1.3,-0.14,0.03,-0.01,A
267,29,62,57,43,-1.95,9.43,-1.15,-0.16,0,-0.03,A
267,29,63,58,43,-2.26,9.5,-1.17,-0.14,0.03,-0.02,A
267,29,63,57,43,-2.32,9.42,-1.1,-0.15,0.04,-0.01,A
267,29,63,57,43,-2.26,9.38,-0.95,-0.11,0.02,0,A
267,29,62,57,43,-2.13,9.42,-1.17,-0.1,-0.07,0,A
267,29,63,57,43,-2.3,9.28,-1.41,-0.13,0.01,0.02,A
267,29,63,58,43,-2.18,9.34,-1.2,-0.16,-0.03,0.02,A
267,29,63,57,43,-2.04,9.49,-1.16,-0.16,-0.06,0.02,A
267,29,63,57,43,-2.2,9.42,-0.97,-0.18,0.01,0.03,A
267,29,63,57,43,-2.08,9.4,-1.15,-0.17,-0.06,0.01,A
267,29,63,57,43,-2.37,9.36,-0.99,-0.17,0.02,0.01,A
267,29,63,57,43,-2.03,9.35,-0.72,-0.17,-0.04,0.02,A
267,29,62,58,43,-2.05,9.4,-0.96,-0.15,-0.02,0.02,A
267,29,63,58,43,-2.09,9.45,-0.98,-0.13,0,0,A
267,29,63,57,43,-2.12,9.4,-0.73,-0.12,0.02,-0.02,A
267,29,63,58,43,-2.28,9.41,-0.61,-0.09,0.03,-0.02,A
267,29,63,58,43,-2.26,9.34,-0.86,-0.04,0.02,-0.01,A
267,29,63,58,43,-2.27,9.38,-0.91,-0.06,-0.02,-0.01,A
